Filename,Reference Text,Transcribed Text,wer,wer c
common_voice_he_39771308,"בעשרים ושישה בדצמבר אלפיים ושלוש פורסם במקומון תל-אביב""",ב-26 בדצמבר 2003 פורסם במקומון תל אביב.,0.75,4444
common_voice_he_38104809,"אֵין לוֹ דְּפוּסִים קְבוּעִים, אוֹ נוֹסַח אֶחָד.",אינו דפוסים תנועים או נוסח אחד.,1,0
common_voice_he_38078787,"חתול, דע לך, לעולם אינו ניזוק בנפילה!",חתול דע לך לעולם אילו נזעוק ונטילה.,0.7143,4286
common_voice_he_38118877,היא נגועה באי-צדק כלפי הצד הפלסטיני,אי-נגוח ואי-צדק  כלפי הצד הפלסטיני.,0.6667,4286
common_voice_he_40909701,ובעוד שבוע עוד מאה וחמישים אלף מנות,"ובעוד שבוע עוד 150,000 מנות.",0.5714,4286
common_voice_he_38094126,וחלקן לא משלמות משכורות זה כמה חודשים,וחלקן לא בשלמות משכורות לכמה חודשים.,0.5714,4286
common_voice_he_38142087,"נתגלה רצון לעבוד, ליצור. ואיך הצליחה הפעולה.","נתגלה רצון לעבוד, ליצור,  והצבי ככה פעולה.",0.5714,נתגלה רצון לעבוד ליצור והצבי ככה פעולה
common_voice_he_38078779,תהא זו היצירה העמוקה והמקורית ביותר בדורה.,תהיה זו הישירה העמוקה והמקורית ביותר בזורה.,0.4286,0
common_voice_he_38146705,וּתְסַפֵּר לָנוּ כֵּיצַד קָרָה הַדָּבָר.,ותספר לנו כיצד קרה לך דבר.,1.2,0
common_voice_he_40067777,אַבָּא רָץ אִתִּי. בַּיַּעַר שָׁאַל אַבָּא אֶת אִמִּי הֵיכָן חַנָה’לִי.,אבא רץ איתי ביער ושאל את אמי היכן חנאלה.,1,אבא רץ איתי ביער ושאל את אמי היכן חנאלה
common_voice_he_38094116,בַּכְּפָר סִפְּרוּ שֶׁהוּא חוֹלֶה מְאֹד,בכפר סיפרו שהוא חולה מאוד.,1,4000
common_voice_he_40909692,במיוחד לנוכח גל ההתייקרויות הצפוי במשק בשנת אלפיים ושתים עשרה,במיוחד לנוכח גל ההתייקרות הצפוי במשק בשנת 2012.,0.4,4000
common_voice_he_39327098,אתמול הייתה בביתנו חנוכת חדר־הקריאה.,אתמול הייתה בביתנו חנוכת חדר הקריאה.,0.4,0
common_voice_he_38078786,מוחק אחת ומצייר אחרת במקומה.,מוהק אחת מצייר אחרת במקומה.,0.4,0
common_voice_he_38568966,בְּשָׁעָה שֶׁדָּנִי וַאֲבִישַׁי וְאִיתַי וְרוּתִי קָפְצוּ מֵעַל עֲרֵמַת הַקַּשׁ עָמַד יוֹסִי’לִי מִן הַצַּד,"בשעה שדני ואבישי ואיתי ורותי קפצו מעל רימת הקיץ,  עמד יוסי לימין עצב.",1,3846
common_voice_he_41616697,ומכיוון שראינו גם שאם לא מתקדמים בשלושים ואחד ביולי הולכים לפטר מאה עובדים,"ומכיוון שראינו שגם אם לא מתקדמים,  ב-31 ביולי הולכים לפטר 100 עובדים.",0.5385,3846
common_voice_he_39771210,אָנוּ מַצִּיעִים לְחַפֵּשׂ בִּשְׁבִיל אַנְשֵׁי ‘קוּם’ מְקוֹם־הִתְיַשְּׁבוּת חָדָשׁ,אנו מציעים לחפש בשביל אנשי קום  מקום התיישבות חדש.,1.125,3750
common_voice_he_39659794,"הֵם גַם הֶחְלִיטוּ לְשַׁתְּפוֹ בַּאֲרֻחוֹתֵיהֶם וְעָשׂוּ ""קֻפָּה מְשֻׁתֶּפֶת""",הם גם החליטו לשתפו בארוחותיהם ועשו קופה משותפת.,1,3750
common_voice_he_38078785,"פה בבית־ספר, בכל מקום. את החופש, את האנושיות.","הוא בבית ספר,  בכל מקום,  את החופש,  את האנושיות.",0.5,הוא בבית ספר בכל מקום את החופש את האנושיות
common_voice_he_39771252,שרק בעשרים ותשעה אחוזים מהלידות יזכו במענק זה,שרק ב-29% מהלידות יזכו במענק זה.,0.5,3750
common_voice_he_39753134,בתאריך חמישה עשר באוקטובר נסגר המקום בצו מינהלי,בתאריך 15 באוקטובר נסגר המקום בצו מנהלי.,0.375,3750
common_voice_he_38115879,"אֲבָל בְּאוֹתוֹ זְמַן בָּא אֵיזֶה אָדָם וּבִישֵּׂר, שֶׁהַיְּלָדִים נִמְצָאִים בְּעִיר אַחֶרֶת.",אבל באותו זמן בא על ידי אדם ובישל שילדים נמצאים בעיר אחרת.,1.0909,0
common_voice_he_38196115,דֶּרֶךְ אֲרֻכָּה עָבַרְנוּ,דרך הלוחקה עברנו.,1,3333
common_voice_he_41605161,פְּעֻלּוֹת שֶׁהִתְכּוֹנַנּוּ לָהֶן לֹא יָצְאוּ לַפֹּעַל.,פעולות שהתכוננו להן לא יצאו לפועל.,1,0
common_voice_he_39326856,בּוֹא אַחֲרַי לַחֲפִירוֹת. כֻּלָּם מִשְׁתַּגְּעִים מִשִּׂמְחָה.,"בוא אחריי לחפירות, כולם משתגעים משמחה.",1,בוא אחריי לחפירות כולם משתגעים משמחה
common_voice_he_39327093,"כֵּן, חִפַּשְׂתִּי יַהֲלוֹמִים","כן, חיפשתי יהלומים.",1,3333
common_voice_he_38094118,"אַחַת אַתְּ וִיחִידָה, טַבַּעַת עֲנָקִית כּוֹבֶלֶת",אחת עד ויחידה טבעת ענקית קובלת,1,0
common_voice_he_38104807,"אַגַב, קָרְאוּ לוֹ כָּאן “הַצִיר הָאִיטַלְקִי”.","אגב, קראו לו כאן הציר האיטלקי.",1,0
common_voice_he_38118863,"אַל תְּמַהֲרִי, לְכִי הַבַּיְתָה וְנוֹחִי קְצָת.","אל תמארי,  לכי הביתה,  ולא קצת.",1,0
common_voice_he_38142089,הָיָה אוֹר לְרֶגַע וּבַחוּץ נַעֲשָׂה חוֹשֶׁךְ.,חיה אור לרגע ובחוץ נעשה קושך.,1,0
common_voice_he_38142098,עַכְשָׁו נָסְעָה לַמֶּרְחַקִּים.,עכשיו נסעה למרחקים.,1,0
common_voice_he_40972185,"סגניו מאוימים, רימונים הושלכו לתוך חצרותיהם",סגניו מאוימים – אימונים הושלכו לתוך עצורותיהם.,0.6667,3333
common_voice_he_40978542,בדרום תל-אביב או בערים החלשות,בדרום תל אביב ובערים החלשות,0.6,0
common_voice_he_38883183,"הוא לא אלוהי אברהם, יצחק ויעקב","ולא אלוהי אברהם, יצחק ויעקב.",0.5,3333
common_voice_he_43281934,אלא אם כן יש מי שמתנגד,עליהם כן יש מי שמתנגד.,0.5,3333
common_voice_he_40137979,מה היא ההתחשבות בעמדת קרובי המשפחה,מהי ההתחשבות בעמדת קרובי המשפחה?,0.5,0
common_voice_he_38196122,כן זה חשוב במיוחד בימים האלה,כסף חשוב במיוחד בימים האלה.,0.5,3333
common_voice_he_40909695,הרי מי הכי סובל מעניין הדיור,הרי מי הכי סבל בעניין הדיור?,0.5,0
common_voice_he_41605165,"ואנחנו הרסרים או הרב""טים או הסמלים""",ואנחנו הרסארים או הרבתים או הסמלים.,0.5,4286
common_voice_he_39753242,חמישה אחוז זה עדיין מספר גדול,5% זה עדיין מספר גדול.,0.5,3333
common_voice_he_39937167,"שעה-שעה, באמצעי התקשורת הבין-לאומיים",שעה-שעה באמצעי התקשורת הבינלאומיים.,0.5,3333
common_voice_he_39778694,מחמישה עשר באוקטובר עד חמישה עשר בנובמבר זה חודש לדיונים לבחינת הנושא,מ-15 באוקטובר עד 15 בנובמבר זה חודש לדיונים לבחינת הנושא.,0.4167,3333
common_voice_he_39897721,בסין יש רכבות מהירות שמגיעות עד ארבע מאות קמש,בסין יש רכבות מהירות שמגיעות עד 400 קמ״ש.,0.3333,3333
common_voice_he_40909690,שאנחנו כבר מבינים כמה היא הרסנית,שאנחנו כבר מבינים כמה ירסנית.,0.3333,3333
common_voice_he_41616625,מיקרוספוט מתחרה בגוגל ברכישת גיטהאב בשווי אסטרונומי של מליארדים,מיקרוסופט מתחרה בגוגל ברכישת גיטה בשווי אסטרונומי של מיליארדים.,0.3333,3333
common_voice_he_41616811,"עקרונית, אם אשה מבקשת לסיים היריון","עקרונית, אם אישה מבקשת לסיים הריון.",0.3333,3333
common_voice_he_39327050,שלוש עשרה מועצות מקומיות וארבע עיריות,13 מועצות מקומיות וארבע עיריות,0.3333,0
common_voice_he_39327082,"אני אומרת תמיד שלא, וזאת אמת.","אני אומר את תמיד שלא, וזאת אמת.",0.3333,0
common_voice_he_38078774,"הו, כמה קשה לכתוב עוד הכול!","או, כמה קשה לכתוב עוד הכל.",0.3333,1667
common_voice_he_38085633,צמרות העצים נעו בעדינות ברוח החמימה.,שמורות העצים נעו בעדינות לרוח החמימה.,0.3333,0
common_voice_he_38142105,כל־כך הרבה זמן לא ראיתי אותו.,כל כך הרבה זמן לא ראיתי אותו.,0.3333,0
common_voice_he_39771177,אני רוצה להתייחס בדברי ביום הזה,אני רוצה להתייחס בדבריי ביום זה.,0.3333,3333
common_voice_he_38078782,"למרות שהתאריך הזה, ראש השנה האזרחי, אינו מקובל בארץ כראש־השנה",למרות שהתאריק הזה ראש השנה האזרחי אינו מקובל בארץ כראש השנה.,0.5,3000
common_voice_he_39753135,בתאריך שבעה באוקטובר אלפיים ושש נורה ונרצח בן משפחת קאדר,בתאריך 7 באוקטובר 2006 נורה ונרצח בן משפחת קאדר.,0.4,3000
common_voice_he_39771208,"בהעדר בני משפחה שיתנגדו ועם בקשת זקא להכיר בו כמייצגיהם""",בהיעדר בני משפחה שהתנגדו ועם בקשת זקה להכיר בו כמייצגיהם.,0.4,3000
common_voice_he_39778675,תקבל משפחה שבה עשרה ילדים אלף מאה ושמונים שקלים בלבד,"תקבל משפחה שבה עשרה ילדים 1,180 שקלים בלבד.",0.4,3000
common_voice_he_40001961,כארבע מאות אלף מנות חיסון אמורות להגיע בתוך השבועיים הקרובים,"כ-400,000 מנות חיסון אמורות להגיע בתוך השבועיים הקרובים.",0.4,3000
common_voice_he_41605172,קוקטיל תרופות יכול להביא לשיפור האפקטיביות של טיפול מונע דיכאון,קוקטייל תרופות יכול להביא לשיפור האפקטיביות של טיפול מוני הדיכאון.,0.3,3000
common_voice_he_38078777,"אני אוהבת את הארץ, או יותר נכון, אני רוצה לאהוב","אני אוהבת את הארץ,  ויותר נכון, אני רוצה לארץ.",0.3,3000
common_voice_he_41605214,לֵ֗ב י֭וֹדֵעַ מָרַּ֣ת נַפְשׁ֑וֹ וּ֝בְשִׂמְחָת֗וֹ לֹא־יִתְעָ֥רַב זָֽר׃,"לב יודע מרת נפשו, ובשמחתו לא התערב זר.",1.1429,2857
common_voice_he_38142083,תַּרְשִׁים הַמִּקְדָּשׁ הָיָה תַּרְשִׁימוֹ שֶׁל בֵּית־מִקְדַּשׁ הַיְּהוּדִים,תרשים המקדש  היה תרשימו של בית מקדש היהודים.,1.1429,2857
common_voice_he_39831376,כִּ֤י לֶ֣קַח ט֭וֹב נָתַ֣תִּי לָכֶ֑ם תּֽ֝וֹרָתִ֗י אַֽל־תַּעֲזֹֽבוּ׃,"כי לקח טוב נתתי לכם, תורתי אל תעזבו.",1.1429,2857
common_voice_he_39937157,וַיִּתְּנוּ־לוֹ֙ שִׁבְעִ֣ים כֶּ֔סֶף מִבֵּ֖ית בַּ֣עַל בְּרִ֑ית וַיִּשְׂכֹּ֨ר בָּהֶ֜ם אֲבִימֶ֗לֶךְ אֲנָשִׁ֤ים רֵיקִים֙ וּפֹ֣חֲזִ֔ים וַיֵּלְכ֖וּ אַחֲרָֽיו׃,"ויתנו לו שבעים כסף מבית בעל ברית, ויסקור בהם אבימלך אנשים ריקים ופוחזים, וילכו אחריו.",1.0714,2857
common_voice_he_38078781,"אָמַר הַמּוֹרֶה, שֶׁאֵיזֶה יֶלֶד יֵלֵךְ אִיתָּהּ הַבַּיְתָה.",אמר המורה שהילד ילך איתה הביתה.,1,0
common_voice_he_38085644,לְפִי דַעְתִּי הֲרֵי טוֹב שֶׁמָּצָאתָ אִגֶּרֶת זוֹ.,"לפי דעתי,  הרי טוב שמצאת יגאל נצור.",1,0
common_voice_he_38085648,"בַּכְּלָל, בַּיָמִים הָאַחֲרוֹנִים הִשְתַלֵט פֹּה מַצָב קָשֶה.","בכלל,  בימים האחרונים השתלט במצב קשה.",1,0
common_voice_he_38118874,מֵאָז הִתְהַלֵּךְ הָאַנְגְּלִי וְדַעְתּוֹ אֵינָה שְׁפוּיָה עָלָיו.,מיד התהלק האנגלי ודעתו אינה שפויה עליו.,1,0
common_voice_he_39771116,אתה מחכה לפסיק? כי הוא לא יבוא,עתה המחכה לפסיק כי הוא לא יבוא.,0.5714,2857
common_voice_he_43313116,אנחנו כרגע נמצאים דווקא בארבע עשרה דקות,אנחנו כרגע נמצאים דווקא ב-14 דקות.,0.4286,2857
common_voice_he_40612863,העניין הזה הוא מאה וארבעים מיליון שקל,העניין הזה הוא 140 מיליון שקל.,0.4286,2857
common_voice_he_41616745,שמעתי שבעיראק נהרגו החודש חמש מאות אנשים,שמעתי שבעיראק נהרגו החודש 500 אנשים.,0.4286,2857
common_voice_he_38078784,ומשפחה שהכנסתה גבוהה תשלם מס על הקצבאות,למשפחה שהכנסתה גבוה תשלם מס על הקצבאות.,0.4286,2857
common_voice_he_38085634,"על עבודתי, חיי יום־יום אני כותבת הביתה","על עבודתי, חיי יום יום, אני כותבת הביתה.",0.4286,2857
common_voice_he_39753489,לא היתה אף תרופה שלא היתה בסל,לא הייתה אף תרופה שלא הייתה בסל.,0.4286,0
common_voice_he_39771262,עמדת בכלל הזה במשך שתים עשרה שעות,עמדת בכלל הזה במשך 12 שעות.,0.4286,2857
common_voice_he_42922381,אלא מבטאים גם הישגים בתחומי הספורט והאמנות,אלה מבטאים גם הישגים בתחומי הספורט והאומנות.,0.2857,2857
common_voice_he_43313117,תפעיל את השיר של אביב גפן בספוטיפי,תפעיל את השיר של אביב גחן בספוטיפיי.,0.2857,2857
common_voice_he_40977316,אוכל יורד בושט נכנס לקיבה ומתעכל שם. אחר כך הוא מועבר למעי הדק והגס,"אוכל יורד בוושט, נכנס לקיבה ומתאכל שם.  אחר כך הוא מועבר למי הדק והגץ.",0.2857,אוכל יורד בוושט נכנס לקיבה ומתאכל שם אחר כך הוא מועבר למי הדק והגץ
common_voice_he_38142068,הבלון האדום עף גבוה בהרבה מהבלון הירוק.,הבלון האדום אך גבוה בהרדיי מהבלון הירוק.,0.2857,0
common_voice_he_39831343,הפליטים בסודן נמצאו בעיקר בעיר הגדולה גדרף,הפליטים בסודאן נמצאו בעיקר בעיר הגדולה אגדרף.,0.2857,2857
common_voice_he_41616731,אנחנו מוכנים לרצוח אלף וחמש מאות בני-אדם ללא הבדל גזע,"אנחנו מוכנים לרצוח 1,500 בני אדם ללא הבדל גזע.",0.5,2727
common_voice_he_39327095,"כָּל הַלַּיְלָה יָשַׁבְנוּ בְּתוֹךְ הַיַּעַר, הוֹסִיף יוֹסִי’לִי לְסַפֵּר","כל הלילה ישבנו בתוך היער, הוסיף יוסי לי לספר.",1.125,2500
common_voice_he_38196123,מַדּוּעַ פָּנַיִיךְ כֹּה רָעִים?,מדוע פניי כה רעים?,1,0
common_voice_he_39327109,מַה הַבְּשׂוֹרָה תַּחַת הַשָּׁמַיִם,מה הבשורה תחת השמיים?,1,0
common_voice_he_38085653,סָבָא שֶׁהָיָה דַּיָּיג בֶּן דַּיָּיגִים טֶבַע בַּיָּם בְּאַחַת הַסְּעָרוֹת הָעַזּוֹת שֶׁפָּגְעוּ בּוֹ.,"סבא, שהיה דייג בין דייגים,  טבע בים באחת הסערות העזות שבאו.",1,0
common_voice_he_38104834,"בַּחוּץ מִשְׁתּוֹלֶלֶת רוּחַ אֲיֻמָּה, וְלַפְּרָקִים גַּם קְצָת מְטַפְטֵף",בחוץ משתוללת רוח איומה ולפרקים גם קצת קטפטפת.,1,2500
common_voice_he_38146706,הִיא הִרְגִּישָׁה שְׂמֵחָה וְחַיְכָנִית,היא הרגישה שמחה והיכנית.,1,2500
common_voice_he_39771143,החלטנו - אתם תביאו הכול,"החלטנו, אתם תביאו הכל.",0.6,0
common_voice_he_38196117,היום השמים מאוד מעוננים,היום השמיים מאוד מעוננים.,0.5,0
common_voice_he_38568965,כי הדיון בפניו יושהה עד לבירור ההליך הפלילי,שהדיון בפניו יושהה עד לבירור ההליך הפלילי.,0.375,2500
common_voice_he_39327183,מול ארגז הגזירות המיושן הזה שעכשיו מטילים לפתחנו,"מול ארגז הגזרות המיושן הזה שעכשיו מתינים לפתחנו,",0.375,0
common_voice_he_39642810,לא רק השכבות החלשות ייפלו בו ויסבלו ממנו,לא רק השכבות החלשות יפלו בו ויספלו ממנו.,0.375,2500
common_voice_he_39771109,שלא ישלמו כמו מי שמרוויח חמשת אלפים שקל,"שלא ישלמו כמו מי שמרוויח 5,000 שקל.",0.375,2500
common_voice_he_39771145,לעומת שמונים אחוזים לגבי צעירה יהודייה מהיישובים בדרום,לעומת 80% לגבי צעירה יהודייה מהיישובים בדרום.,0.375,2500
common_voice_he_39785400,ועובדה שהחברה החזירה שלוש מאות מנות שהגיעו למקור,ועובדה שהחברה החזירה 300 מנות שהגיעו למקור.,0.375,2500
common_voice_he_39785515,תסע באוטובוס עד רחוב טשנרחובסקי ושם תחליף לקורקינט,תיסע באוטובוס עד רחוב צ'רניחובסקי ושם תחליף לקורקינט.,0.375,3750
common_voice_he_39937267,ומספר יחידות הדיור הדרוש להשגת יעד זה הוא עשרים ושניים אלף יחידות,"ומספר יחידות הדיור הדרוש להשגת יעד זה הוא 22,000 יחידות.",0.3333,2500
common_voice_he_38094979,נשכבתי ליד המים השקטים.,נשכרתי ליד המים השקטים.,0.25,0
common_voice_he_38118868,אני צריכה להתרגל לזה.,אני שקל להתרגל לזה.,0.25,0
common_voice_he_38118869,כעת הנהו בן שבע.,כעת  אילנו בן שבע.,0.25,0
common_voice_he_41869860,כשממקמים מתקן גז בהיקף כזה בתוך אזור שממילא הוא רווי במפעלים וחומרים מסוכנים,כשממקמים מתקן גז בהיקף כזה בתוך אזור  שממלא הוא רבוי מפעלים וחומרים מסוכנים.,0.3077,2308
common_voice_he_38883182,"וְאִלּוּ מָה שֶׁשִּׁיֵּךְ לְקֶרַע בְּנֶפֶשׁ, הֲרֵי זֶה בָּרוּר וּמוּבָן","ואילו מה ששייך לקרע בנפש, הרי זה ברור ומובן.",1,1111
common_voice_he_38146672,"מִשֶּׁשָּׁמַעְתִּי שֶׁ’יֵּשׁ לַעֲשׂוֹת מַשֶׁהוּ' מִפִּיךָ, מִיָּד נִצְנֵץ רַעְיוֹן בְּלִבִּי",כששמעתי שיש לעשות משהו מפיך מיד נצנץ רעיון בלבי.,1,2222
common_voice_he_39831364,נובמבר אלפיים ושמונה הותקף בתל-אביב מר אבי ניר,נובמבר 2008 הותקף בתל אביב מר אבי ניר.,0.625,2222
common_voice_he_38142099,מה אתה מבין בקולות! הנה לך בר סמכא חדש!,"מה אתה מבין בקולות?  הנה לך, בה שמך חדש.",0.5556,2222
common_voice_he_38146694,"תחילה הלכתי ברצון, אבל אחרי־כן ראיתי שלא כדאי. נראה.",תחילה הלכתי ברצון אבל אחרי כן ראיתי שלא כדאי.  נראה.,0.3333,תחילה הלכתי ברצון אבל אחריכן ראיתי שלא כדאי נראה
common_voice_he_39753207,שחמישה אחוז מהדירות במכרזים שאנחנו מוציאים הולכים לדיור הציבורי,ש-5% מהדירות במכרזים שאנחנו מוציאים הולכים לדיור הציבורי.,0.3333,2222
common_voice_he_39753543,פיסבוק או חברת מטא היא הבעלים של אינסטגרם ואווטסאפ,פייסבוק או חברת מטא היא הבעלים של אינסטגרם ווואטסאפ.,0.2222,2222
common_voice_he_38195454,"אִם תִּתְגַּלֶּה הָאֶבֶן, הֲרֵי מְקוֹמָהּ בִּירוּשָׁלַיִם, לְפִי דַעְתִּי, וְלֹא בִּנְיוּ־יוֹרְק.",אם תתגלה האבן הרי מקומה בירושלים לפי דעתי ולא בניו יורק.,1.1,0
common_voice_he_39327065,"אַתָּה צָרִיךְ לְהָבִין, כִּי אֵין הָאֲנָשִׁים הַמְחַפְּשִׂים יַהֲלוֹמִים כִּשְׁאָר בְּנֵי־הָאָדָם.",אתה צריך להבין כי אין האנשים המחפשים יהלומים כשאר בני אדם.,1.1,0
common_voice_he_39326852,הִתְחִילָה רְכִיבָה בִּמְלֹא מוּבָן הַמִילָה.,התחילה רכיבה במלוא מובן המילה.,1,0
common_voice_he_38085636,עִם הָרִים וַעֲמָקִים עֲטוּפֵי דֶּשֶׁא,אין הרים ועמקים עטופי דשא,1,0
common_voice_he_38094128,מָה עֶרְכָּהּ שֶׁל הָאֶבֶן בְּכֶסֶף?,מה הערכה של האבן בכסף?,1,0
common_voice_he_38115877,"תָּמִיד רָצְתָה רוּתִי לָדַעַת מֶה עָשׂוּ, וְלִשְׁאֵלוֹתֶיהָ לֹא הָיָה סוֹף",תמיד רצתה אותי לדעת מי עשו ולשאלותיה לא היה סוף.,1,2000
common_voice_he_38118871,מוּבָן שֶהַפַּעַם אֵינִי מִתְנַגֶדֶת לַזְרִיקָה.,מובן שהפעם איני מתנגדת לדריקה.,1,0
