Filename	Background file	Start point (s)	SNR
common_voice_he_38130924.mp3	noise-free-sound-0030.wav	7.33	3.49
common_voice_he_38130925.mp3	noise-free-sound-0308.wav	35.54	4.74
common_voice_he_38130926.mp3	noise-free-sound-0752.wav	27.25	2.58
common_voice_he_38130927.mp3	noise-free-sound-0726.wav	7.87	5.85
common_voice_he_38130928.mp3	noise-free-sound-0244.wav	42.36	5.04
common_voice_he_38130929.mp3	noise-free-sound-0076.wav	54.58	4.86
common_voice_he_38130930.mp3	noise-free-sound-0677.wav	48.39	0.10
common_voice_he_38130931.mp3	noise-sound-bible-0060.wav	38.52	1.73
common_voice_he_38130932.mp3	noise-free-sound-0551.wav	17.82	5.94
common_voice_he_38130933.mp3	noise-sound-bible-0045.wav	7.88	4.08
common_voice_he_38130934.mp3	noise-free-sound-0088.wav	1.64	2.87
common_voice_he_38130935.mp3	noise-free-sound-0433.wav	7.35	5.81
common_voice_he_38130936.mp3	noise-free-sound-0841.wav	62.45	3.25
common_voice_he_38130937.mp3	noise-free-sound-0293.wav	18.13	1.15
common_voice_he_38130938.mp3	noise-free-sound-0105.wav	127.13	4.63
common_voice_he_38130939.mp3	noise-free-sound-0324.wav	19.38	3.86
common_voice_he_38130940.mp3	noise-free-sound-0715.wav	54.66	2.27
common_voice_he_38130941.mp3	noise-free-sound-0254.wav	16.26	4.86
common_voice_he_38130942.mp3	noise-free-sound-0647.wav	25.82	1.00
common_voice_he_38130943.mp3	noise-free-sound-0230.wav	8.89	4.88
common_voice_he_38130944.mp3	noise-free-sound-0278.wav	2.78	1.51
common_voice_he_38130945.mp3	noise-free-sound-0272.wav	5.93	4.89
common_voice_he_38130946.mp3	noise-free-sound-0707.wav	7.97	4.67
common_voice_he_38130947.mp3	noise-free-sound-0288.wav	42.06	0.93
common_voice_he_38130948.mp3	noise-free-sound-0489.wav	28.20	5.82
common_voice_he_38130949.mp3	noise-free-sound-0494.wav	15.40	2.39
common_voice_he_38130950.mp3	noise-free-sound-0254.wav	52.65	4.20
common_voice_he_38130951.mp3	noise-free-sound-0154.wav	28.42	5.71
common_voice_he_38130952.mp3	noise-free-sound-0707.wav	12.39	1.78
common_voice_he_38130953.mp3	noise-free-sound-0216.wav	9.61	1.23
common_voice_he_38130954.mp3	noise-free-sound-0321.wav	18.41	2.19
common_voice_he_38130955.mp3	noise-free-sound-0030.wav	32.99	5.24
common_voice_he_38130956.mp3	noise-free-sound-0443.wav	15.72	3.96
common_voice_he_38130957.mp3	noise-free-sound-0066.wav	22.18	3.91
common_voice_he_38130958.mp3	noise-free-sound-0304.wav	2.56	1.22
common_voice_he_38130959.mp3	noise-free-sound-0671.wav	3.84	1.78
common_voice_he_38130960.mp3	noise-free-sound-0441.wav	23.09	0.33
common_voice_he_38130961.mp3	noise-free-sound-0278.wav	27.08	2.20
common_voice_he_38130962.mp3	noise-free-sound-0335.wav	20.66	2.96
common_voice_he_38130963.mp3	noise-free-sound-0381.wav	17.07	3.34
common_voice_he_38130964.mp3	noise-free-sound-0076.wav	69.16	5.57
common_voice_he_38130965.mp3	noise-free-sound-0381.wav	8.68	0.84
common_voice_he_38130966.mp3	noise-free-sound-0828.wav	38.70	3.23
common_voice_he_38130972.mp3	noise-free-sound-0592.wav	18.64	5.63
common_voice_he_38130973.mp3	noise-free-sound-0340.wav	16.94	3.43
common_voice_he_38130974.mp3	noise-sound-bible-0049.wav	4.10	5.55
common_voice_he_38130975.mp3	noise-free-sound-0230.wav	32.98	4.58
common_voice_he_38130976.mp3	noise-free-sound-0474.wav	21.42	5.89
common_voice_he_38130977.mp3	noise-free-sound-0433.wav	37.13	5.96
common_voice_he_38130978.mp3	noise-free-sound-0370.wav	38.40	5.04
common_voice_he_38130979.mp3	noise-free-sound-0472.wav	71.36	2.29
common_voice_he_38130980.mp3	noise-free-sound-0048.wav	267.38	3.61
common_voice_he_38130981.mp3	noise-free-sound-0287.wav	46.49	3.66
common_voice_he_38130982.mp3	noise-free-sound-0593.wav	20.03	4.09
common_voice_he_38130983.mp3	noise-free-sound-0067.wav	14.99	4.55
common_voice_he_38130984.mp3	noise-free-sound-0568.wav	11.91	0.25
common_voice_he_38130985.mp3	noise-free-sound-0685.wav	26.01	3.70
common_voice_he_38130986.mp3	noise-free-sound-0699.wav	96.34	0.36
common_voice_he_38130987.mp3	noise-free-sound-0243.wav	74.28	1.25
common_voice_he_38130988.mp3	noise-free-sound-0158.wav	50.65	3.34
common_voice_he_38130989.mp3	noise-free-sound-0732.wav	7.25	4.08
common_voice_he_38130990.mp3	noise-free-sound-0230.wav	27.46	0.51
common_voice_he_38130991.mp3	noise-free-sound-0266.wav	26.05	4.37
common_voice_he_38130992.mp3	noise-free-sound-0828.wav	44.95	4.95
common_voice_he_38130993.mp3	noise-free-sound-0743.wav	35.33	3.87
common_voice_he_38130994.mp3	noise-free-sound-0177.wav	60.78	5.15
common_voice_he_38130995.mp3	noise-free-sound-0636.wav	11.59	2.95
common_voice_he_38130996.mp3	noise-free-sound-0177.wav	68.07	0.64
common_voice_he_38130997.mp3	noise-free-sound-0249.wav	5.09	5.20
common_voice_he_38130998.mp3	noise-free-sound-0254.wav	41.73	0.73
common_voice_he_38130999.mp3	noise-free-sound-0055.wav	32.76	5.08
common_voice_he_38131000.mp3	noise-free-sound-0340.wav	4.38	0.51
common_voice_he_38131001.mp3	noise-free-sound-0152.wav	57.66	4.22
common_voice_he_38131002.mp3	noise-free-sound-0475.wav	29.84	1.61
common_voice_he_38131003.mp3	noise-free-sound-0743.wav	1.82	3.92
common_voice_he_38131004.mp3	noise-free-sound-0634.wav	18.37	1.78
common_voice_he_38131005.mp3	noise-free-sound-0384.wav	63.92	2.52
common_voice_he_38131006.mp3	noise-free-sound-0572.wav	54.00	3.60
common_voice_he_38131007.mp3	noise-free-sound-0397.wav	16.97	3.38
common_voice_he_38131008.mp3	noise-sound-bible-0083.wav	18.39	0.60
common_voice_he_38131009.mp3	noise-free-sound-0383.wav	24.56	1.72
common_voice_he_38131010.mp3	noise-free-sound-0383.wav	2.39	0.26
common_voice_he_38131011.mp3	noise-free-sound-0251.wav	19.43	3.42
common_voice_he_38131012.mp3	noise-free-sound-0546.wav	82.19	0.06
common_voice_he_38131013.mp3	noise-free-sound-0418.wav	18.55	3.47
common_voice_he_38131014.mp3	noise-free-sound-0708.wav	44.72	0.22
common_voice_he_38131015.mp3	noise-free-sound-0067.wav	20.41	2.95
common_voice_he_38131016.mp3	noise-sound-bible-0076.wav	33.64	2.46
common_voice_he_38131017.mp3	noise-free-sound-0439.wav	23.31	3.56
common_voice_he_38131018.mp3	noise-free-sound-0497.wav	48.22	5.93
common_voice_he_38131019.mp3	noise-free-sound-0001.wav	7.44	0.67
common_voice_he_38131020.mp3	noise-free-sound-0614.wav	12.05	5.22
common_voice_he_38131021.mp3	noise-free-sound-0634.wav	38.63	0.23
common_voice_he_38131022.mp3	noise-free-sound-0641.wav	22.27	5.10
common_voice_he_38131023.mp3	noise-sound-bible-0044.wav	20.48	5.79
common_voice_he_38131024.mp3	noise-free-sound-0001.wav	15.75	2.52
common_voice_he_38131025.mp3	noise-free-sound-0266.wav	11.00	0.28
common_voice_he_38131026.mp3	noise-free-sound-0156.wav	14.09	3.37
common_voice_he_38131027.mp3	noise-free-sound-0418.wav	31.09	1.42
common_voice_he_38131028.mp3	noise-free-sound-0067.wav	25.43	5.25
common_voice_he_38131029.mp3	noise-free-sound-0067.wav	13.38	0.02
common_voice_he_38131030.mp3	noise-free-sound-0781.wav	44.47	5.98
common_voice_he_38131031.mp3	noise-free-sound-0640.wav	8.09	3.02
common_voice_he_38131032.mp3	noise-free-sound-0249.wav	11.44	2.98
common_voice_he_38131033.mp3	noise-free-sound-0272.wav	19.19	5.41
common_voice_he_38131034.mp3	noise-free-sound-0818.wav	13.22	3.92
common_voice_he_38131035.mp3	noise-free-sound-0804.wav	10.26	1.83
common_voice_he_38131036.mp3	noise-sound-bible-0059.wav	19.00	2.34
common_voice_he_38131037.mp3	noise-free-sound-0677.wav	17.46	4.44
common_voice_he_38131038.mp3	noise-free-sound-0784.wav	21.37	2.41
common_voice_he_38131039.mp3	noise-free-sound-0644.wav	0.88	2.04
common_voice_he_38131040.mp3	noise-free-sound-0131.wav	12.05	1.36
common_voice_he_38131041.mp3	noise-free-sound-0459.wav	31.75	1.32
common_voice_he_38131042.mp3	noise-free-sound-0594.wav	68.44	5.53
common_voice_he_38131043.mp3	noise-free-sound-0551.wav	8.88	4.34
common_voice_he_38131044.mp3	noise-free-sound-0836.wav	54.19	2.95
common_voice_he_38131045.mp3	noise-free-sound-0267.wav	9.98	3.45
common_voice_he_38131046.mp3	noise-free-sound-0454.wav	17.70	4.87
common_voice_he_38131047.mp3	noise-free-sound-0593.wav	20.29	0.30
common_voice_he_38131048.mp3	noise-free-sound-0282.wav	19.30	2.51
common_voice_he_38131049.mp3	noise-free-sound-0725.wav	29.37	5.52
common_voice_he_38131050.mp3	noise-free-sound-0818.wav	0.81	5.40
common_voice_he_38131051.mp3	noise-free-sound-0651.wav	51.84	1.98
common_voice_he_38131052.mp3	noise-free-sound-0066.wav	55.02	5.01
common_voice_he_38131053.mp3	noise-free-sound-0647.wav	54.02	3.78
common_voice_he_38131054.mp3	noise-free-sound-0106.wav	101.93	0.62
common_voice_he_38131055.mp3	noise-free-sound-0754.wav	58.43	5.99
common_voice_he_38131056.mp3	noise-free-sound-0710.wav	24.41	0.51
common_voice_he_38131057.mp3	noise-free-sound-0383.wav	13.01	0.38
common_voice_he_38131058.mp3	noise-free-sound-0011.wav	14.54	3.55
common_voice_he_38131059.mp3	noise-free-sound-0436.wav	18.32	5.11
common_voice_he_38131060.mp3	noise-free-sound-0723.wav	79.57	3.94
common_voice_he_38131061.mp3	noise-free-sound-0685.wav	3.63	1.56
common_voice_he_38131062.mp3	noise-free-sound-0239.wav	31.00	0.28
common_voice_he_38131063.mp3	noise-free-sound-0335.wav	27.91	4.05
common_voice_he_38131064.mp3	noise-free-sound-0137.wav	75.27	1.83
common_voice_he_38131065.mp3	noise-free-sound-0418.wav	34.97	1.23
common_voice_he_38131066.mp3	noise-free-sound-0792.wav	21.82	0.76
common_voice_he_38131067.mp3	noise-free-sound-0101.wav	2.17	4.39
common_voice_he_38131068.mp3	noise-free-sound-0324.wav	17.51	5.58
common_voice_he_38131069.mp3	noise-free-sound-0230.wav	23.92	5.00
common_voice_he_38131070.mp3	noise-free-sound-0614.wav	5.91	4.35
common_voice_he_38131071.mp3	noise-free-sound-0733.wav	4.09	2.72
common_voice_he_38131072.mp3	noise-free-sound-0671.wav	8.96	5.73
common_voice_he_38131073.mp3	noise-free-sound-0698.wav	2.76	5.60
common_voice_he_38131074.mp3	noise-free-sound-0322.wav	23.33	2.06
common_voice_he_38131075.mp3	noise-free-sound-0502.wav	36.65	2.35
common_voice_he_38131076.mp3	noise-free-sound-0681.wav	59.44	2.46
common_voice_he_38131077.mp3	noise-free-sound-0383.wav	23.53	5.82
common_voice_he_38131078.mp3	noise-free-sound-0348.wav	42.33	3.21
common_voice_he_38131079.mp3	noise-free-sound-0383.wav	14.33	0.66
common_voice_he_38131080.mp3	noise-free-sound-0788.wav	9.89	4.93
common_voice_he_38131081.mp3	noise-free-sound-0443.wav	17.35	3.07
common_voice_he_38131082.mp3	noise-free-sound-0581.wav	30.81	2.83
common_voice_he_38131083.mp3	noise-free-sound-0568.wav	7.02	0.84
common_voice_he_38131084.mp3	noise-free-sound-0105.wav	145.03	1.68
common_voice_he_38131085.mp3	noise-free-sound-0459.wav	21.88	2.61
common_voice_he_38131086.mp3	noise-free-sound-0728.wav	80.58	2.87
common_voice_he_38131087.mp3	noise-free-sound-0533.wav	12.39	2.36
common_voice_he_38131088.mp3	noise-free-sound-0272.wav	0.70	0.46
common_voice_he_38131089.mp3	noise-free-sound-0151.wav	8.16	0.50
common_voice_he_38131090.mp3	noise-free-sound-0804.wav	22.30	2.21
common_voice_he_38131091.mp3	noise-free-sound-0011.wav	26.08	5.77
common_voice_he_38131092.mp3	noise-free-sound-0298.wav	21.28	3.44
common_voice_he_38131093.mp3	noise-free-sound-0384.wav	50.86	4.52
common_voice_he_38131094.mp3	noise-free-sound-0636.wav	20.19	3.81
common_voice_he_38131095.mp3	noise-free-sound-0634.wav	48.04	3.50
common_voice_he_38131096.mp3	noise-free-sound-0086.wav	29.48	4.76
common_voice_he_38131097.mp3	noise-free-sound-0234.wav	2.17	4.20
common_voice_he_38131098.mp3	noise-free-sound-0080.wav	14.89	1.95
common_voice_he_38131099.mp3	noise-free-sound-0792.wav	13.58	2.82
common_voice_he_38131100.mp3	noise-free-sound-0383.wav	6.51	1.18
common_voice_he_38131101.mp3	noise-free-sound-0298.wav	15.34	0.11
common_voice_he_38131102.mp3	noise-free-sound-0233.wav	22.33	2.19
common_voice_he_38131103.mp3	noise-free-sound-0262.wav	13.71	1.21
common_voice_he_38131104.mp3	noise-free-sound-0130.wav	3.77	0.83
common_voice_he_38131105.mp3	noise-free-sound-0086.wav	16.79	1.38
common_voice_he_38131106.mp3	noise-free-sound-0836.wav	33.52	5.31
common_voice_he_38131107.mp3	noise-free-sound-0795.wav	17.75	1.88
common_voice_he_38131108.mp3	noise-free-sound-0336.wav	40.62	2.98
common_voice_he_38131109.mp3	noise-free-sound-0251.wav	21.11	1.22
common_voice_he_38131110.mp3	noise-free-sound-0059.wav	24.45	2.79
common_voice_he_38131111.mp3	noise-free-sound-0726.wav	87.61	1.67
common_voice_he_38131112.mp3	noise-free-sound-0430.wav	52.75	1.76
common_voice_he_38131113.mp3	noise-free-sound-0172.wav	11.08	1.87
common_voice_he_38131114.mp3	noise-free-sound-0699.wav	91.37	4.28
common_voice_he_38131115.mp3	noise-free-sound-0732.wav	5.78	1.84
common_voice_he_38131116.mp3	noise-free-sound-0335.wav	28.30	4.87
common_voice_he_38131117.mp3	noise-free-sound-0298.wav	3.98	0.57
common_voice_he_38131118.mp3	noise-free-sound-0088.wav	19.15	1.69
common_voice_he_38131119.mp3	noise-sound-bible-0045.wav	38.80	5.00
common_voice_he_38131120.mp3	noise-free-sound-0154.wav	14.67	1.83
common_voice_he_38131121.mp3	noise-sound-bible-0076.wav	14.02	1.18
common_voice_he_38131122.mp3	noise-free-sound-0152.wav	13.35	3.14
common_voice_he_38131123.mp3	noise-free-sound-0567.wav	16.76	1.67
common_voice_he_38131124.mp3	noise-free-sound-0461.wav	8.87	2.70
common_voice_he_38131125.mp3	noise-free-sound-0497.wav	18.38	4.40
common_voice_he_38131126.mp3	noise-free-sound-0531.wav	24.49	0.75
common_voice_he_38131127.mp3	noise-free-sound-0494.wav	19.39	1.99
common_voice_he_38131128.mp3	noise-free-sound-0441.wav	34.33	5.38
common_voice_he_38131129.mp3	noise-free-sound-0651.wav	33.03	3.05
common_voice_he_38131130.mp3	noise-free-sound-0035.wav	19.67	0.94
common_voice_he_38131131.mp3	noise-free-sound-0121.wav	38.68	0.38
common_voice_he_38131132.mp3	noise-free-sound-0298.wav	16.29	0.46
common_voice_he_38131133.mp3	noise-free-sound-0233.wav	0.23	3.33
common_voice_he_38131134.mp3	noise-free-sound-0646.wav	16.49	4.45
common_voice_he_38131135.mp3	noise-free-sound-0580.wav	9.38	0.49
common_voice_he_38131136.mp3	noise-free-sound-0251.wav	23.33	0.89
common_voice_he_38131137.mp3	noise-free-sound-0290.wav	4.67	0.37
common_voice_he_38131138.mp3	noise-free-sound-0674.wav	26.33	2.70
common_voice_he_38131139.mp3	noise-free-sound-0723.wav	43.50	0.82
common_voice_he_38131140.mp3	noise-free-sound-0752.wav	22.67	4.11
common_voice_he_38131141.mp3	noise-free-sound-0581.wav	28.49	0.89
common_voice_he_38131142.mp3	noise-free-sound-0042.wav	230.85	0.47
common_voice_he_38131143.mp3	noise-free-sound-0454.wav	11.23	3.68
common_voice_he_38131144.mp3	noise-free-sound-0439.wav	19.30	2.73
common_voice_he_38131145.mp3	noise-free-sound-0819.wav	52.62	2.39
common_voice_he_38131146.mp3	noise-free-sound-0840.wav	7.61	2.77
common_voice_he_38131147.mp3	noise-sound-bible-0054.wav	23.54	5.82
common_voice_he_38131148.mp3	noise-free-sound-0480.wav	16.96	4.37
common_voice_he_38131149.mp3	noise-free-sound-0430.wav	11.11	4.55
common_voice_he_38131150.mp3	noise-free-sound-0502.wav	49.14	3.28
common_voice_he_38131151.mp3	noise-free-sound-0076.wav	47.37	0.02
common_voice_he_38131152.mp3	noise-free-sound-0443.wav	3.45	2.38
common_voice_he_38131153.mp3	noise-free-sound-0244.wav	63.22	2.47
common_voice_he_38131154.mp3	noise-free-sound-0446.wav	0.55	4.30
common_voice_he_38131155.mp3	noise-free-sound-0614.wav	25.03	1.08
common_voice_he_38131156.mp3	noise-free-sound-0293.wav	22.19	3.21
common_voice_he_38131157.mp3	noise-free-sound-0472.wav	49.46	0.95
common_voice_he_38131158.mp3	noise-free-sound-0298.wav	3.21	2.96
common_voice_he_38131159.mp3	noise-free-sound-0230.wav	25.06	5.44
common_voice_he_38131160.mp3	noise-free-sound-0725.wav	26.07	5.96
common_voice_he_38131161.mp3	noise-sound-bible-0049.wav	9.24	0.19
common_voice_he_38131162.mp3	noise-free-sound-0230.wav	33.76	0.96
common_voice_he_38131163.mp3	noise-free-sound-0451.wav	21.02	0.96
common_voice_he_38131164.mp3	noise-free-sound-0472.wav	19.77	4.47
common_voice_he_38142066.mp3	noise-free-sound-0020.wav	13.73	4.19
common_voice_he_38142067.mp3	noise-free-sound-0531.wav	15.80	5.43
common_voice_he_38142068.mp3	noise-free-sound-0269.wav	27.57	3.85
common_voice_he_38142069.mp3	noise-free-sound-0644.wav	51.31	1.96
common_voice_he_38142070.mp3	noise-free-sound-0707.wav	14.67	3.55
common_voice_he_38142071.mp3	noise-free-sound-0382.wav	22.28	4.47
common_voice_he_38142072.mp3	noise-free-sound-0459.wav	15.41	2.41
common_voice_he_38142073.mp3	noise-free-sound-0064.wav	53.56	0.78
common_voice_he_38142074.mp3	noise-free-sound-0451.wav	32.71	2.78
common_voice_he_38142075.mp3	noise-free-sound-0728.wav	103.45	1.28
common_voice_he_38142076.mp3	noise-free-sound-0546.wav	69.06	1.14
common_voice_he_38142077.mp3	noise-free-sound-0504.wav	4.26	3.05
common_voice_he_38142078.mp3	noise-free-sound-0184.wav	6.04	5.16
common_voice_he_38142079.mp3	noise-free-sound-0106.wav	57.69	5.58
common_voice_he_38142080.mp3	noise-free-sound-0055.wav	24.88	3.06
common_voice_he_38142081.mp3	noise-free-sound-0754.wav	68.07	1.73
common_voice_he_38142082.mp3	noise-free-sound-0244.wav	26.45	3.65
common_voice_he_38142083.mp3	noise-free-sound-0248.wav	7.72	1.04
common_voice_he_38142084.mp3	noise-free-sound-0117.wav	27.44	5.14
common_voice_he_38142085.mp3	noise-free-sound-0151.wav	5.93	0.19
common_voice_he_38142086.mp3	noise-free-sound-0288.wav	50.27	2.64
common_voice_he_38142087.mp3	noise-sound-bible-0044.wav	20.01	3.19
common_voice_he_38142088.mp3	noise-free-sound-0216.wav	27.87	0.14
common_voice_he_38142089.mp3	noise-free-sound-0592.wav	10.23	1.92
common_voice_he_38142090.mp3	noise-free-sound-0288.wav	37.98	1.35
common_voice_he_38142096.mp3	noise-free-sound-0740.wav	17.31	2.83
common_voice_he_38142097.mp3	noise-free-sound-0290.wav	33.55	3.20
common_voice_he_38142098.mp3	noise-free-sound-0497.wav	14.80	4.63
common_voice_he_38142099.mp3	noise-free-sound-0605.wav	24.13	0.67
